,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
811,BALUSDT,JASMYUSDT,0.02,-3.62,-3.37,615.64,58
508,ANTUSDT,ADAUSDT,0.03,-3.57,-3.37,3.88,55
190,ENJUSDT,FTMUSDT,0.0,-5.48,-3.37,1.85,46
803,BALUSDT,FTTUSDT,0.0,-4.88,-3.37,0.2,45
647,API3USDT,BNBUSDT,0.0,-4.47,-3.37,0.01,43
913,DARUSDT,REQUSDT,0.0,-4.42,-3.37,2.54,42
73,XTZUSDT,ASTRUSDT,0.03,-3.59,-3.37,37.41,41
429,LRCUSDT,LINKUSDT,0.0,-5.2,-3.37,0.06,41
784,1000XECUSDT,REEFUSDT,0.01,-3.77,-3.37,10.35,41
187,CRVUSDT,SCRTUSDT,0.04,-3.38,-3.37,1.24,41
341,GALAUSDT,SCUSDT,0.0,-4.67,-3.37,12.91,40
64,XTZUSDT,MANAUSDT,0.03,-3.52,-3.37,1.78,40
786,ACHUSDT,UNIUSDT,0.02,-3.7,-3.37,0.0,40
372,CELRUSDT,BNBUSDT,0.03,-3.59,-3.37,0.0,39
510,ANTUSDT,DOGEUSDT,0.02,-3.62,-3.37,29.21,39
735,BAKEUSDT,ICXUSDT,0.0,-4.77,-3.37,1.07,39
430,LRCUSDT,AXSUSDT,0.02,-3.69,-3.37,0.02,39
662,APEUSDT,STXUSDT,0.03,-3.56,-3.37,15.36,39
44,XRPUSDT,ILVUSDT,0.02,-3.65,-3.37,0.0,39
97,XEMUSDT,DODOUSDT,0.01,-3.87,-3.37,0.29,39
193,ENJUSDT,SKLUSDT,0.0,-4.34,-3.37,10.55,39
87,XEMUSDT,AUDIOUSDT,0.03,-3.53,-3.37,0.14,39
91,XEMUSDT,CELOUSDT,0.01,-3.77,-3.37,0.05,39
177,SANDUSDT,KNCUSDT,0.03,-3.54,-3.37,0.84,38
89,XEMUSDT,RSRUSDT,0.02,-3.59,-3.37,7.35,38
163,SANDUSDT,DOGEUSDT,0.01,-4.09,-3.37,19.17,38
693,ZRXUSDT,STORJUSDT,0.0,-4.93,-3.37,0.52,38
479,REQUSDT,ETHUSDT,0.0,-4.34,-3.37,0.0,38
690,ZRXUSDT,ICPUSDT,0.03,-3.52,-3.37,0.04,38
1186,USDCUSDT,SLPUSDT,0.0,-7.48,-3.37,226.01,37
682,ALPHAUSDT,CREAMUSDT,0.04,-3.46,-3.37,0.01,37
247,IOSTUSDT,DODOUSDT,0.01,-3.84,-3.37,0.08,37
445,LITUSDT,DOTUSDT,0.02,-3.62,-3.37,0.12,36
102,SUSHIUSDT,OCEANUSDT,0.0,-4.25,-3.37,7.39,36
140,FILUSDT,DYDXUSDT,0.04,-3.46,-3.37,3.58,36
77,UNIUSDT,IMXUSDT,0.0,-4.24,-3.37,7.72,36
377,ONEUSDT,LINKUSDT,0.0,-4.7,-3.37,0.0,35
80,XEMUSDT,MANAUSDT,0.01,-3.79,-3.37,0.05,35
471,STXUSDT,BNBUSDT,0.04,-3.44,-3.37,0.0,35
235,IOSTUSDT,10000NFTUSDT,0.0,-4.85,-3.37,2.38,35
675,ARPAUSDT,STXUSDT,0.0,-5.46,-3.37,0.09,35
378,ONEUSDT,DOTUSDT,0.03,-3.53,-3.37,0.0,35
857,DARUSDT,SHIB1000USDT,0.04,-3.38,-3.37,28.42,35
117,AAVEUSDT,ARUSDT,0.03,-3.53,-3.37,6.71,34
182,CRVUSDT,IMXUSDT,0.0,-4.83,-3.37,1.21,34
628,RSS3USDT,BSVUSDT,0.0,-4.37,-3.37,0.0,34
61,LTCUSDT,OCEANUSDT,0.01,-3.93,-3.37,301.49,34
487,REQUSDT,DOGEUSDT,0.02,-3.73,-3.37,1.95,34
809,BALUSDT,RVNUSDT,0.0,-5.16,-3.37,164.32,34
2,BTCUSDT,BSVUSDT,0.02,-3.6,-3.37,376.73,34
580,KNCUSDT,DOGEUSDT,0.01,-3.92,-3.37,22.68,34
39,XRPUSDT,MATICUSDT,0.04,-3.39,-3.37,0.41,34
785,1000XECUSDT,RVNUSDT,0.04,-3.46,-3.37,1.17,34
126,AAVEUSDT,BOBAUSDT,0.04,-3.39,-3.37,174.36,33
796,BALUSDT,XLMUSDT,0.0,-4.37,-3.37,52.54,33
919,DARUSDT,XMRUSDT,0.04,-3.39,-3.37,0.0,33
792,BALUSDT,ADAUSDT,0.0,-4.33,-3.37,11.98,33
782,1000XECUSDT,ONEUSDT,0.01,-3.92,-3.37,1.9,33
654,API3USDT,1INCHUSDT,0.03,-3.49,-3.37,2.6,33
891,DARUSDT,SLPUSDT,0.02,-3.67,-3.37,77.02,33
683,ALPHAUSDT,KDAUSDT,0.04,-3.38,-3.37,0.09,33
773,BOBAUSDT,ETHUSDT,0.03,-3.48,-3.37,0.0,33
710,ZRXUSDT,CTCUSDT,0.0,-5.4,-3.37,0.87,33
1151,USDCUSDT,BSVUSDT,0.0,-5.86,-3.37,0.02,33
781,1000XECUSDT,YFIUSDT,0.01,-3.79,-3.37,0.0,33
1212,USDCUSDT,ANTUSDT,0.0,-7.71,-3.37,0.5,33
807,BALUSDT,SLPUSDT,0.02,-3.59,-3.37,1401.02,32
180,CRVUSDT,RUNEUSDT,0.01,-3.98,-3.37,0.51,32
98,XEMUSDT,ONTUSDT,0.02,-3.74,-3.37,0.18,32
365,GALAUSDT,CREAMUSDT,0.0,-4.76,-3.37,0.0,32
81,XEMUSDT,ALGOUSDT,0.04,-3.38,-3.37,0.15,32
496,REQUSDT,SHIB1000USDT,0.0,-4.74,-3.37,11.21,32
109,AAVEUSDT,TLMUSDT,0.04,-3.43,-3.37,3225.93,32
169,SANDUSDT,FTTUSDT,0.0,-4.5,-3.37,0.04,32
253,BITUSDT,TOMOUSDT,0.03,-3.53,-3.37,1.17,32
818,CVXUSDT,EOSUSDT,0.03,-3.59,-3.37,5.72,31
170,SANDUSDT,ONEUSDT,0.02,-3.76,-3.37,56.78,31
844,DARUSDT,TRXUSDT,0.01,-3.81,-3.37,4.92,31
730,BAKEUSDT,CVCUSDT,0.0,-4.33,-3.37,2.2,31
745,BAKEUSDT,STMXUSDT,0.04,-3.45,-3.37,39.89,31
213,FTMUSDT,BNBUSDT,0.0,-4.52,-3.37,0.0,31
221,IOSTUSDT,COTIUSDT,0.03,-3.55,-3.37,0.13,31
154,COMPUSDT,AVAXUSDT,0.03,-3.51,-3.37,2.44,31
188,CRVUSDT,MINAUSDT,0.03,-3.57,-3.37,1.71,31
702,ZRXUSDT,JASMYUSDT,0.02,-3.66,-3.37,35.13,31
393,COTIUSDT,AAVEUSDT,0.02,-3.75,-3.37,0.0,31
401,COTIUSDT,TRXUSDT,0.02,-3.61,-3.37,1.62,31
185,CRVUSDT,CKBUSDT,0.03,-3.57,-3.37,303.2,31
819,DODOUSDT,XTZUSDT,0.01,-3.95,-3.37,0.1,31
158,AXSUSDT,BCHUSDT,0.0,-5.15,-3.37,0.13,31
736,BAKEUSDT,WAVESUSDT,0.0,-4.2,-3.37,0.06,31
48,XRPUSDT,JASMYUSDT,0.03,-3.47,-3.37,37.66,31
66,XTZUSDT,TLMUSDT,0.0,-4.32,-3.37,59.24,31
488,REQUSDT,MATICUSDT,0.0,-4.36,-3.37,0.15,31
515,ARUSDT,ADAUSDT,0.01,-3.99,-3.37,28.14,31
54,XRPUSDT,BNXUSDT,0.01,-3.87,-3.37,0.0,31
24,ETHUSDT,IMXUSDT,0.03,-3.59,-3.37,1478.16,30
1058,GALUSDT,UNIUSDT,0.02,-3.73,-3.37,0.44,30
514,ARUSDT,LINKUSDT,0.01,-3.86,-3.37,1.91,30
211,SHIB1000USDT,TRXUSDT,0.0,-4.63,-3.37,0.17,30
79,UNIUSDT,BSWUSDT,0.02,-3.7,-3.37,24.51,30
606,XNOUSDT,LINKUSDT,0.0,-4.26,-3.37,0.13,30
776,BOBAUSDT,XTZUSDT,0.01,-3.79,-3.37,0.31,30
249,FTTUSDT,DOGEUSDT,0.0,-4.95,-3.37,440.72,30
1159,USDCUSDT,IOSTUSDT,0.0,-5.74,-3.37,66.78,29
431,LRCUSDT,DASHUSDT,0.0,-4.34,-3.37,0.01,29
1139,USDCUSDT,COMPUSDT,0.0,-5.75,-3.37,0.02,29
596,CREAMUSDT,BNBUSDT,0.04,-3.39,-3.37,0.06,29
45,XRPUSDT,KLAYUSDT,0.01,-4.01,-3.37,1.27,29
581,ROSEUSDT,BTCUSDT,0.0,-4.8,-3.37,0.0,29
376,ONEUSDT,ETHUSDT,0.02,-3.68,-3.37,0.0,29
155,COMPUSDT,SXPUSDT,0.03,-3.55,-3.37,133.74,29
1219,USDCUSDT,ICXUSDT,0.0,-6.01,-3.37,3.07,29
42,XRPUSDT,AGLDUSDT,0.02,-3.68,-3.37,0.83,29
141,FILUSDT,ANTUSDT,0.03,-3.48,-3.37,4.23,29
62,LTCUSDT,OGNUSDT,0.01,-4.05,-3.37,273.62,29
498,REQUSDT,ICPUSDT,0.02,-3.74,-3.37,0.02,29
442,AUDIOUSDT,XTZUSDT,0.04,-3.4,-3.37,0.2,29
839,DARUSDT,ETCUSDT,0.01,-3.85,-3.37,0.01,29
637,1000BTTUSDT,ADAUSDT,0.0,-4.32,-3.37,0.0,29
101,SUSHIUSDT,BANDUSDT,0.02,-3.6,-3.37,0.84,29
162,SANDUSDT,ADAUSDT,0.0,-4.18,-3.37,2.55,29
691,ZRXUSDT,DYDXUSDT,0.0,-4.77,-3.37,0.15,28
16,ETHUSDT,ICPUSDT,0.01,-4.02,-3.37,202.17,28
499,REQUSDT,ALGOUSDT,0.02,-3.73,-3.37,0.39,28
590,ROSEUSDT,DOTUSDT,0.0,-5.41,-3.37,0.01,28
787,BALUSDT,ETHUSDT,0.02,-3.66,-3.37,0.0,28
789,BALUSDT,XRPUSDT,0.0,-4.32,-3.37,16.35,28
505,ANTUSDT,ETHUSDT,0.02,-3.69,-3.37,0.0,28
672,ARPAUSDT,VETUSDT,0.01,-3.91,-3.37,1.44,28
13,ETHUSDT,DOGEUSDT,0.01,-3.88,-3.37,24311.54,28
764,LINAUSDT,CREAMUSDT,0.04,-3.38,-3.37,0.0,28
673,ARPAUSDT,ENSUSDT,0.02,-3.71,-3.37,0.0,28
94,XEMUSDT,CKBUSDT,0.0,-4.32,-3.37,11.23,28
153,VETUSDT,CREAMUSDT,0.04,-3.41,-3.37,0.0,28
75,UNIUSDT,TLMUSDT,0.03,-3.56,-3.37,288.03,28
676,ARPAUSDT,KAVAUSDT,0.04,-3.47,-3.37,0.02,28
339,GALAUSDT,CVCUSDT,0.0,-4.7,-3.37,0.38,28
697,ZRXUSDT,ANTUSDT,0.0,-4.17,-3.37,0.18,28
238,IOSTUSDT,CKBUSDT,0.03,-3.54,-3.37,3.31,28
667,CTSIUSDT,REEFUSDT,0.04,-3.46,-3.37,39.59,27
230,IOSTUSDT,DUSKUSDT,0.01,-4.1,-3.37,0.1,27
836,DARUSDT,AAVEUSDT,0.02,-3.7,-3.37,0.0,27
239,IOSTUSDT,SUNUSDT,0.0,-4.85,-3.37,2.39,27
416,COTIUSDT,BSVUSDT,0.0,-4.15,-3.37,0.0,27
533,XMRUSDT,ETCUSDT,0.02,-3.67,-3.37,4.26,27
176,SANDUSDT,RVNUSDT,0.01,-4.08,-3.37,34.94,27
657,API3USDT,BSWUSDT,0.04,-3.38,-3.37,5.75,27
433,IOTXUSDT,BNBUSDT,0.02,-3.67,-3.37,0.0,27
509,ANTUSDT,DOTUSDT,0.01,-4.01,-3.37,0.24,27
726,BAKEUSDT,ANKRUSDT,0.0,-4.29,-3.37,10.99,27
35,XRPUSDT,BTCUSDT,0.02,-3.61,-3.37,0.0,27
661,APEUSDT,ANKRUSDT,0.04,-3.41,-3.37,223.27,27
159,AXSUSDT,ADAUSDT,0.02,-3.67,-3.37,34.89,27
18,ETHUSDT,DASHUSDT,0.04,-3.42,-3.37,32.92,27
777,BOBAUSDT,LINKUSDT,0.04,-3.47,-3.37,0.07,27
879,DARUSDT,TLMUSDT,0.0,-4.44,-3.37,11.24,27
146,FILUSDT,CTCUSDT,0.04,-3.42,-3.37,20.8,27
906,DARUSDT,RNDRUSDT,0.01,-3.85,-3.37,0.49,27
20,ETHUSDT,RENUSDT,0.0,-4.23,-3.37,11450.5,27
121,AAVEUSDT,XNOUSDT,0.0,-5.16,-3.37,95.34,27
380,COTIUSDT,BTCUSDT,0.01,-4.03,-3.37,0.0,27
589,ROSEUSDT,ADAUSDT,0.0,-4.77,-3.37,0.16,27
621,SUNUSDT,XEMUSDT,0.0,-4.43,-3.37,0.12,27
713,ZRXUSDT,CEEKUSDT,0.0,-4.45,-3.37,1.47,27
354,GALAUSDT,XMRUSDT,0.0,-4.48,-3.37,0.0,27
932,DARUSDT,JASMYUSDT,0.02,-3.68,-3.37,33.85,26
692,ZRXUSDT,HBARUSDT,0.02,-3.71,-3.37,4.74,26
122,AAVEUSDT,CKBUSDT,0.02,-3.69,-3.37,21655.9,26
783,1000XECUSDT,SLPUSDT,0.03,-3.58,-3.37,9.99,26
822,TOMOUSDT,VETUSDT,0.01,-3.95,-3.37,21.28,26
511,DUSKUSDT,COMPUSDT,0.01,-3.93,-3.37,0.0,26
30,EOSUSDT,ALICEUSDT,0.0,-4.15,-3.37,0.44,26
11,ETHUSDT,LINKUSDT,0.01,-3.82,-3.37,219.05,26
907,DARUSDT,SCUSDT,0.03,-3.49,-3.37,73.85,26
1149,USDCUSDT,SHIB1000USDT,0.0,-5.84,-3.37,83.41,26
578,KNCUSDT,ADAUSDT,0.02,-3.62,-3.37,3.02,26
484,REQUSDT,ADAUSDT,0.01,-3.92,-3.37,0.26,26
38,XRPUSDT,ADAUSDT,0.01,-3.77,-3.37,0.73,26
181,CRVUSDT,SLPUSDT,0.04,-3.41,-3.37,309.5,26
933,DARUSDT,10000NFTUSDT,0.02,-3.65,-3.37,54.13,26
1055,GALUSDT,LINKUSDT,0.01,-3.77,-3.37,0.5,26
805,BALUSDT,MKRUSDT,0.0,-4.16,-3.37,0.01,26
1061,GALUSDT,DOGEUSDT,0.04,-3.47,-3.37,55.55,26
156,COMPUSDT,QNTUSDT,0.04,-3.44,-3.37,0.55,26
806,BALUSDT,STORJUSDT,0.02,-3.74,-3.37,9.03,26
388,COTIUSDT,ADAUSDT,0.01,-3.8,-3.37,0.22,25
43,XRPUSDT,ALICEUSDT,0.0,-5.13,-3.37,0.13,25
145,FILUSDT,DODOUSDT,0.03,-3.5,-3.37,47.92,25
767,LINAUSDT,JSTUSDT,0.01,-4.03,-3.37,0.33,25
23,ETHUSDT,LPTUSDT,0.02,-3.64,-3.37,143.58,25
921,DARUSDT,IOTAUSDT,0.02,-3.68,-3.37,1.04,25
823,DARUSDT,BTCUSDT,0.03,-3.49,-3.37,0.0,25
774,BOBAUSDT,BCHUSDT,0.03,-3.51,-3.37,0.0,25
604,XNOUSDT,LTCUSDT,0.01,-4.04,-3.37,0.02,25
1112,ONTUSDT,XTZUSDT,0.0,-4.23,-3.37,0.16,25
831,DARUSDT,ADAUSDT,0.01,-3.81,-3.37,0.66,25
217,IOSTUSDT,COMPUSDT,0.01,-3.85,-3.37,0.0,25
157,COMPUSDT,ZILUSDT,0.02,-3.6,-3.37,1356.9,25
1073,FITFIUSDT,QNTUSDT,0.03,-3.58,-3.37,0.0,25
328,GALAUSDT,CROUSDT,0.0,-4.81,-3.37,0.41,25
671,CTSIUSDT,DODOUSDT,0.02,-3.62,-3.37,0.95,25
666,CTSIUSDT,RSRUSDT,0.04,-3.4,-3.37,24.48,25
152,VETUSDT,STXUSDT,0.02,-3.69,-3.37,0.06,25
584,ROSEUSDT,XRPUSDT,0.0,-4.5,-3.37,0.22,25
243,IOSTUSDT,STMXUSDT,0.01,-3.83,-3.37,1.72,25
656,API3USDT,APEUSDT,0.01,-3.88,-3.37,0.29,25
135,ETCUSDT,LOOKSUSDT,0.03,-3.53,-3.37,98.09,25
649,API3USDT,BITUSDT,0.03,-3.54,-3.37,2.84,25
588,ROSEUSDT,LINKUSDT,0.0,-5.2,-3.37,0.01,25
25,ETHUSDT,REEFUSDT,0.01,-3.97,-3.37,391759.64,25
34,EOSUSDT,AKROUSDT,0.0,-4.72,-3.37,241.22,25
124,AAVEUSDT,ASTRUSDT,0.0,-4.17,-3.37,2037.29,25
251,BITUSDT,ENSUSDT,0.03,-3.56,-3.37,0.05,25
790,BALUSDT,BCHUSDT,0.01,-3.79,-3.37,0.04,25
359,GALAUSDT,WAVESUSDT,0.0,-4.49,-3.37,0.01,24
748,BAKEUSDT,CELUSDT,0.03,-3.52,-3.37,0.29,24
1034,FLMUSDT,XMRUSDT,0.0,-4.64,-3.37,0.0,24
516,ARUSDT,DOTUSDT,0.01,-3.84,-3.37,1.74,24
266,GALAUSDT,SUSHIUSDT,0.0,-4.63,-3.37,0.04,24
22,ETHUSDT,SLPUSDT,0.0,-4.89,-3.37,377933.91,24
374,CELRUSDT,ENJUSDT,0.0,-4.88,-3.37,0.03,24
21,ETHUSDT,CHRUSDT,0.03,-3.58,-3.37,7911.21,24
797,BALUSDT,TRXUSDT,0.0,-4.43,-3.37,89.42,24
1154,USDCUSDT,ALGOUSDT,0.0,-5.75,-3.37,2.94,24
681,ALPHAUSDT,ICXUSDT,0.04,-3.47,-3.37,0.51,24
29,ETHUSDT,BELUSDT,0.03,-3.58,-3.37,1921.95,24
1152,USDCUSDT,ICPUSDT,0.0,-8.15,-3.37,0.12,24
168,SANDUSDT,ICPUSDT,0.02,-3.66,-3.37,0.16,24
1067,GALUSDT,SANDUSDT,0.03,-3.56,-3.37,2.9,24
489,REQUSDT,ETCUSDT,0.01,-3.9,-3.37,0.0,24
1216,USDCUSDT,XMRUSDT,0.0,-7.71,-3.37,0.01,24
132,ETCUSDT,BSVUSDT,0.03,-3.51,-3.37,0.6,24
655,API3USDT,CREAMUSDT,0.04,-3.43,-3.37,0.11,24
127,AAVEUSDT,ACHUSDT,0.0,-4.26,-3.37,6196.57,24
1060,GALUSDT,AAVEUSDT,0.0,-4.21,-3.37,0.04,24
867,DARUSDT,IOSTUSDT,0.04,-3.43,-3.37,22.76,24
1005,FLMUSDT,SNXUSDT,0.0,-4.65,-3.37,0.06,24
905,DARUSDT,LITUSDT,0.01,-3.99,-3.37,0.34,24
174,SANDUSDT,LPTUSDT,0.01,-4.0,-3.37,0.11,24
491,REQUSDT,SANDUSDT,0.02,-3.69,-3.37,0.1,24
214,SRMUSDT,LINKUSDT,0.04,-3.45,-3.37,0.13,24
96,XEMUSDT,MTLUSDT,0.0,-4.19,-3.37,0.04,24
1056,GALUSDT,ADAUSDT,0.01,-3.9,-3.37,7.39,24
1204,USDCUSDT,RSRUSDT,0.0,-5.74,-3.37,144.79,24
884,DARUSDT,LRCUSDT,0.01,-3.81,-3.37,0.8,24
134,ETCUSDT,LPTUSDT,0.01,-3.94,-3.37,3.21,23
1218,USDCUSDT,IOTAUSDT,0.0,-5.86,-3.37,3.04,23
324,GALAUSDT,SLPUSDT,0.0,-4.25,-3.37,13.46,23
71,XTZUSDT,CKBUSDT,0.02,-3.6,-3.37,397.67,23
872,DARUSDT,HBARUSDT,0.01,-3.92,-3.37,4.56,23
1202,USDCUSDT,RNDRUSDT,0.0,-5.81,-3.37,1.43,23
133,ETCUSDT,CHRUSDT,0.04,-3.45,-3.37,176.68,23
379,ONEUSDT,TRXUSDT,0.01,-3.88,-3.37,0.33,23
1163,USDCUSDT,GALAUSDT,0.0,-5.81,-3.37,16.78,23
74,UNIUSDT,BNBUSDT,0.04,-3.46,-3.37,0.03,23
897,DARUSDT,YGGUSDT,0.02,-3.6,-3.37,0.41,23
775,BOBAUSDT,LTCUSDT,0.01,-3.8,-3.37,0.01,23
347,GALAUSDT,REQUSDT,0.0,-4.25,-3.37,0.44,23
470,RSRUSDT,XTZUSDT,0.01,-4.09,-3.37,0.0,23
1170,USDCUSDT,COTIUSDT,0.0,-5.77,-3.37,8.88,23
85,XEMUSDT,BATUSDT,0.0,-6.38,-3.37,0.12,23
313,GALAUSDT,RUNEUSDT,0.0,-4.45,-3.37,0.02,23
916,DARUSDT,DUSKUSDT,0.01,-3.96,-3.37,2.3,23
582,ROSEUSDT,ETHUSDT,0.0,-5.15,-3.37,0.0,23
512,ARUSDT,ETHUSDT,0.01,-3.78,-3.37,0.01,23
1136,USDCUSDT,TRXUSDT,0.0,-5.9,-3.37,14.43,23
849,DARUSDT,SANDUSDT,0.01,-3.78,-3.37,0.26,23
1210,USDCUSDT,1INCHUSDT,0.0,-5.81,-3.37,1.27,23
1229,USDCUSDT,JASMYUSDT,0.0,-8.25,-3.37,99.28,23
1126,USDCUSDT,XEMUSDT,0.0,-5.75,-3.37,19.7,23
677,ARPAUSDT,HOTUSDT,0.05,-3.37,-3.37,17.38,23
837,DARUSDT,DOGEUSDT,0.03,-3.57,-3.37,4.95,23
660,APEUSDT,ENSUSDT,0.01,-4.01,-3.37,0.45,23
821,DODOUSDT,DOTUSDT,0.0,-4.38,-3.37,0.02,23
663,OGNUSDT,ETHUSDT,0.01,-3.77,-3.37,0.0,23
653,API3USDT,SKLUSDT,0.02,-3.6,-3.37,33.34,23
814,MTLUSDT,ETHUSDT,0.0,-4.45,-3.37,0.0,23
92,XEMUSDT,DENTUSDT,0.0,-4.58,-3.37,44.92,23
802,BALUSDT,SRMUSDT,0.01,-3.87,-3.37,6.25,22
76,UNIUSDT,RUNEUSDT,0.03,-3.48,-3.37,3.27,22
609,XNOUSDT,UNIUSDT,0.01,-3.97,-3.37,0.12,22
120,AAVEUSDT,ZILUSDT,0.03,-3.58,-3.37,2254.7,22
605,XNOUSDT,XTZUSDT,0.0,-4.23,-3.37,0.57,22
1050,GALUSDT,ETHUSDT,0.01,-3.99,-3.37,0.0,22
368,GALAUSDT,10000NFTUSDT,0.0,-4.57,-3.37,9.46,22
1070,GALUSDT,GRTUSDT,0.02,-3.63,-3.37,30.05,22
486,REQUSDT,SUSHIUSDT,0.0,-4.46,-3.37,0.09,22
476,CTKUSDT,CHZUSDT,0.04,-3.38,-3.37,8.04,22
835,DARUSDT,SUSHIUSDT,0.01,-4.03,-3.37,0.23,22
1069,GALUSDT,CRVUSDT,0.02,-3.72,-3.37,2.79,22
483,REQUSDT,LINKUSDT,0.0,-4.37,-3.37,0.02,22
1063,GALUSDT,ETCUSDT,0.0,-4.13,-3.37,0.1,22
246,IOSTUSDT,MTLUSDT,0.02,-3.7,-3.37,0.01,22
680,ALPHAUSDT,STXUSDT,0.04,-3.43,-3.37,0.36,22
1054,GALUSDT,LTCUSDT,0.02,-3.67,-3.37,0.06,22
597,JASMYUSDT,ETHUSDT,0.03,-3.54,-3.37,0.0,22
798,BALUSDT,AXSUSDT,0.03,-3.57,-3.37,0.34,22
642,1000BTTUSDT,AAVEUSDT,0.01,-4.03,-3.37,0.0,22
548,XMRUSDT,CRVUSDT,0.02,-3.69,-3.37,116.16,22
648,API3USDT,VETUSDT,0.04,-3.41,-3.37,70.72,22
26,ETHUSDT,RVNUSDT,0.04,-3.44,-3.37,44323.52,22
949,FLMUSDT,SUSHIUSDT,0.0,-4.83,-3.37,0.15,22
28,ETHUSDT,BLZUSDT,0.01,-3.8,-3.37,16067.25,22
1059,GALUSDT,SUSHIUSDT,0.02,-3.69,-3.37,2.59,22
538,XMRUSDT,TRXUSDT,0.02,-3.63,-3.37,2296.63,22
1185,USDCUSDT,SNXUSDT,0.0,-7.67,-3.37,0.26,22
993,FLMUSDT,RENUSDT,0.0,-4.68,-3.37,1.53,22
50,XRPUSDT,RAYUSDT,0.01,-3.8,-3.37,0.45,22
947,FLMUSDT,UNIUSDT,0.0,-4.97,-3.37,0.03,22
192,ENJUSDT,SFPUSDT,0.02,-3.71,-3.37,1.57,22
131,ETCUSDT,GRTUSDT,0.03,-3.53,-3.37,293.68,22
551,XMRUSDT,SHIB1000USDT,0.03,-3.57,-3.37,13277.16,22
129,ETCUSDT,ADAUSDT,0.02,-3.64,-3.37,72.16,22
160,SANDUSDT,BCHUSDT,0.01,-3.99,-3.37,0.01,22
732,BAKEUSDT,STXUSDT,0.01,-3.9,-3.37,0.76,21
731,BAKEUSDT,RNDRUSDT,0.03,-3.48,-3.37,0.5,21
600,XNOUSDT,ETHUSDT,0.0,-4.25,-3.37,0.0,21
1150,USDCUSDT,YFIUSDT,0.0,-5.89,-3.37,0.0,21
497,REQUSDT,YFIUSDT,0.04,-3.46,-3.37,0.0,21
473,MASKUSDT,LINKUSDT,0.03,-3.48,-3.37,0.22,21
1111,OPUSDT,ENSUSDT,0.03,-3.51,-3.37,0.11,21
610,SUNUSDT,BTCUSDT,0.01,-4.02,-3.37,0.0,21
1062,GALUSDT,MATICUSDT,0.01,-4.1,-3.37,4.17,21
618,SUNUSDT,ADAUSDT,0.0,-4.2,-3.37,0.01,21
448,LITUSDT,GRTUSDT,0.02,-3.63,-3.37,7.91,21
594,ROSEUSDT,AAVEUSDT,0.0,-5.1,-3.37,0.0,21
712,ZRXUSDT,TRBUSDT,0.03,-3.5,-3.37,0.01,21
592,ROSEUSDT,XEMUSDT,0.0,-4.91,-3.37,1.64,21
669,CTSIUSDT,1000XECUSDT,0.04,-3.47,-3.37,3.82,21
674,ARPAUSDT,ANKRUSDT,0.0,-5.35,-3.37,1.32,21
391,COTIUSDT,XEMUSDT,0.02,-3.72,-3.37,2.22,21
696,ZRXUSDT,REQUSDT,0.04,-3.46,-3.37,2.63,21
525,XMRUSDT,ADAUSDT,0.02,-3.64,-3.37,307.66,21
441,ANKRUSDT,BNBUSDT,0.01,-4.02,-3.37,0.0,21
541,XMRUSDT,COMPUSDT,0.02,-3.71,-3.37,2.7,21
793,BALUSDT,MATICUSDT,0.01,-4.05,-3.37,6.76,21
114,AAVEUSDT,MASKUSDT,0.04,-3.38,-3.37,57.46,21
123,AAVEUSDT,DGBUSDT,0.0,-4.33,-3.37,8270.74,21
70,XTZUSDT,DENTUSDT,0.01,-3.98,-3.37,1590.69,21
130,ETCUSDT,AXSUSDT,0.03,-3.5,-3.37,2.07,21
12,ETHUSDT,DOTUSDT,0.04,-3.39,-3.37,200.03,21
881,DARUSDT,ILVUSDT,0.03,-3.53,-3.37,0.0,21
1174,USDCUSDT,TLMUSDT,0.0,-5.73,-3.37,32.97,21
778,BOBAUSDT,UNIUSDT,0.01,-3.94,-3.37,0.06,21
1200,USDCUSDT,LITUSDT,0.0,-5.76,-3.37,0.99,21
820,DODOUSDT,LINKUSDT,0.02,-3.71,-3.37,0.02,21
288,GALAUSDT,SHIB1000USDT,0.01,-4.06,-3.37,4.97,21
69,XTZUSDT,SKLUSDT,0.03,-3.54,-3.37,29.19,21
1225,USDCUSDT,ROSEUSDT,0.0,-5.83,-3.37,11.98,21
794,BALUSDT,ETCUSDT,0.03,-3.5,-3.37,0.17,21
32,EOSUSDT,GLMRUSDT,0.01,-4.05,-3.37,1.66,21
800,BALUSDT,YFIUSDT,0.04,-3.38,-3.37,0.0,21
173,SANDUSDT,SLPUSDT,0.02,-3.6,-3.37,297.93,21
1203,USDCUSDT,SCUSDT,0.0,-5.82,-3.37,216.72,21
57,XRPUSDT,AKROUSDT,0.03,-3.54,-3.37,72.96,21
742,BAKEUSDT,HOTUSDT,0.03,-3.59,-3.37,145.09,21
1213,USDCUSDT,DUSKUSDT,0.0,-5.74,-3.37,6.74,21
850,DARUSDT,MANAUSDT,0.01,-3.8,-3.37,0.34,21
743,BAKEUSDT,ARPAUSDT,0.0,-4.3,-3.37,8.35,21
912,DARUSDT,BICOUSDT,0.01,-3.88,-3.37,0.54,21
100,SUSHIUSDT,MASKUSDT,0.05,-3.37,-3.37,0.86,21
56,XRPUSDT,CTCUSDT,0.01,-4.07,-3.37,0.93,21
186,CRVUSDT,OGNUSDT,0.02,-3.62,-3.37,6.23,21
