,ENJUSDT,FTMUSDT,Spread,Zscore
148,0.6698,0.3608,0.0023199999999998777,-0.18342338137182002
149,0.6803,0.3763,-0.015855000000000063,-1.5399464070682198
150,0.6827,0.3792,-0.01882000000000006,-1.6871746392913314
151,0.6846,0.3787,-0.01599499999999998,-1.4571293193224997
152,0.6814,0.3791,-0.019935000000000036,-1.614571672296654
153,0.6812,0.3779,-0.017915000000000014,-1.341785368756631
154,0.6829,0.3764,-0.013440000000000119,-0.9941831722167233
155,0.6876,0.377,-0.009850000000000025,-0.7171452941644608
156,0.6919,0.3765,-0.004625000000000101,-0.34062169560127686
157,0.7018,0.3754,0.007309999999999928,0.4271147646823868
158,0.6985,0.3817,-0.007645000000000013,-0.5343954530905526
159,0.6943,0.3822,-0.012769999999999948,-0.8304003792458933
160,0.6871,0.3748,-0.006280000000000063,-0.33808647214348403
161,0.6879,0.3709,0.001734999999999931,0.28199889259775635
162,0.6906,0.3713,0.003694999999999893,0.4739949282804353
163,0.6887,0.369,0.00605,0.7029903588570319
164,0.6926,0.3725,0.003475000000000006,0.5613094199866213
165,0.6882,0.3699,0.0038850000000000273,0.7299990949149623
166,0.6887,0.3689,0.0062349999999999905,1.0612667943011584
167,0.6911,0.3721,0.002715000000000023,0.7922307252503213
168,0.6948,0.3728,0.005119999999999902,1.0249618612097333
169,0.6961,0.3755,0.0014250000000000096,0.6492876939264209
170,0.7007,0.3779,0.0015849999999999476,0.5951009730485607
171,0.7079,0.3815,0.0021249999999999325,0.5808339382759453
172,0.6966,0.3755,0.0019249999999999545,0.4871829770582408
173,0.6949,0.3757,-0.00014500000000006175,0.1455164251591904
174,0.6942,0.3776,-0.0043600000000000305,-0.6034977013046756
175,0.6892,0.374,-0.0027000000000000357,-0.4737655705150728
176,0.6854,0.3741,-0.006685000000000052,-1.268179487946659
177,0.6881,0.3767,-0.008794999999999997,-1.551436274848757
178,0.6913,0.3856,-0.02205999999999997,-2.8870235438374503
179,0.6908,0.3853,-0.022005000000000052,-2.380009317554987
180,0.6906,0.3788,-0.010180000000000078,-0.9925313211989774
181,0.6908,0.3789,-0.01016500000000009,-0.9514721246823498
182,0.6951,0.3787,-0.005494999999999917,-0.3501321181009775
183,0.6914,0.3764,-0.0049400000000000555,-0.23699262434509474
184,0.6898,0.3752,-0.0043199999999999905,-0.10433382486165639
185,0.691,0.3772,-0.006820000000000048,-0.3642091808311685
186,0.694,0.3765,-0.0025250000000001105,0.23247421362046944
187,0.6898,0.371,0.003449999999999953,1.0613558308004212
188,0.6859,0.3682,0.004729999999999901,1.2032947290166578
189,0.6868,0.3686,0.00488999999999995,1.2283417624267123
190,0.6874,0.3697,0.003454999999999986,1.012247453446801
191,0.6882,0.37,0.0037000000000000366,1.0185719583496646
192,0.6856,0.3708,-0.00038000000000004697,0.5094264104115118
193,0.6858,0.3722,-0.00277000000000005,0.22854576635384652
194,0.6848,0.3704,-0.00044000000000010697,0.5420833603618461
195,0.677,0.367,-0.0019500000000000073,0.32403777211793555
196,0.6672,0.3593,0.002494999999999914,0.8670443901088387
197,0.6747,0.3621,0.004815000000000014,1.0685539209581107
198,0.6713,0.3656,-0.005059999999999953,-0.21228827844856685
199,0.674,0.3647,-0.0006950000000000012,0.2603919836702418
